model,model_name,method,method_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6200,150,1.3489025250000002,1.4628768999999999,1.67649465,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6300,150,1.3489025250000002,1.4628768999999999,1.679857175,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6400,150,1.3489025250000002,1.4663930999999999,1.679857175,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6500,150,1.3494249,1.4663930999999999,1.679857175,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6600,150,1.3494249,1.4678097999999999,1.679857175,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6700,150,1.356107825,1.4696726,1.6809377749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6800,150,1.356107825,1.4696726,1.6809377749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6900,150,1.3573861250000001,1.4707493999999999,1.6809377749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,7000,150,1.3676214249999998,1.4735105000000002,1.6852686749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,7100,150,1.3676214249999998,1.4735105000000002,1.6956357,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
