lso_series,lso_series_name,bucket_id,seed_rank,seed_dataset_idx,mini_retained_score,lso_retained_score,lso_minus_mini,group_n,mean_lso_minus_mini,sample_sd_lso_minus_mini,join_key,selection_policy,lso_simulation_chain,mini_simulation_chain,lso_source_artifacts,mini_source_artifacts,comparison_scope
tree_lso,TreeVAE-80 + latent EA,B2,14,3163,1.8842983,1.4578357,-0.42646260000000002,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,15,3336,2.237047,2.0374235000000001,-0.19962349999999995,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,16,2590,1.4119655,1.5299039999999999,0.11793849999999995,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,17,3551,1.1000543,1.7276606000000001,0.62760630000000006,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,18,3699,1.7935302,2.0993453,0.30581510000000001,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,19,10220,2.3511950000000001,1.5618605000000001,-0.78933450000000005,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,20,2114,2.1594885000000001,1.9281193000000001,-0.23136920000000005,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,21,2979,1.6192224,1.9411502,0.3219278000000001,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,22,2598,1.4038587,1.5646418,0.16078309999999996,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B2,23,10260,1.3409925,1.6933994999999999,0.35240699999999991,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
