series,series_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,lso_simulation_chain,mini_simulation_chain,lso_source_artifacts,mini_source_artifacts,comparison_scope
tree_lso,TreeVAE-80 + latent EA,3300,150,1.2461385250000001,1.34921135,1.5260648000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3400,150,1.2461385250000001,1.3624377000000001,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3500,150,1.2492204249999999,1.36624105,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3600,150,1.2609352249999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3700,150,1.2686817749999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3800,150,1.2751155000000001,1.3724639500000002,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3900,150,1.279895,1.3734325000000001,1.5457520250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,4000,150,1.279895,1.3734325000000001,1.552484025,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,4100,150,1.2828904249999999,1.3847544000000001,1.552484025,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,4200,150,1.288741425,1.3847544000000001,1.5558203749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
