model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
09_tree_vae_epoch80,TreeVAE-80,650,1000,5,2178,0.23000000000000001,55.920000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,660,1000,11,2178,0.51000000000000001,55.640000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,670,1000,4,2178,0.17999999999999999,55.450000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,680,1000,8,2178,0.37,56.18,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,690,1000,9,2178,0.40999999999999998,55.280000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,700,1000,4,2178,0.17999999999999999,55.109999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,710,1000,9,2178,0.40999999999999998,55.170000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,720,1000,6,2178,0.28000000000000003,54.670000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,730,1000,9,2178,0.40999999999999998,54.649999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,740,1000,7,2178,0.32000000000000001,54.75,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,750,1000,8,2178,0.37,54.649999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,760,1000,5,2178,0.23000000000000001,54.229999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,770,1000,7,2178,0.32000000000000001,54.479999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,780,1000,5,2178,0.23000000000000001,54.729999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
