dataset_idx,genotype,fitness,selected_manifest_source,bucket_id,seed_rank,dataset_count_metadata,exact_dataset_max_metadata
2725,"(rqXc(L(ccLX)), X)",0.2659420034028045,no,,,10893,2.2952309520191614
2726,"(rrXL(cccXX), X)",0.6064656054678622,no,,,10893,2.2952309520191614
2727,"fX(, rXqCFCCXXRLfXX)",0.3837139704511166,no,,,10893,2.2952309520191614
2728,"(QQXCCXLXX,,X, LX)",0.6712063165452004,no,,,10893,2.2952309520191614
2729,XXCqCLqCLfXXLXRX,0.494128407739198,no,,,10893,2.2952309520191614
2730,"C(XX, qXXRCLX(X), X)",0.39656650718631387,no,,,10893,2.2952309520191614
2731,"(LRX, cXrXQccXQXrcXrXX)",0.5561860529141325,no,,,10893,2.2952309520191614
2732,cXqXcXmXfqcXXLXQX,0.4909532180408964,no,,,10893,2.2952309520191614
2733,"(XCCQXXXXRCXXX, qmCCX)",0.47829064430547585,no,,,10893,2.2952309520191614
2734,"C(XC(qlXfXXCX),rXX)",0.2976443246796114,no,,,10893,2.2952309520191614
2735,"mXL(RXQcXL(X, ), rX(CX))",0.5756853351470083,no,,,10893,2.2952309520191614
2736,cXrXrrFfLFcXfXXFX,0.22362851163419545,no,,,10893,2.2952309520191614
2737,XXqcXrcXcXXX,0.4601115262400847,no,,,10893,2.2952309520191614
2738,"Q(XlXcXmXmmlX, cXX)",0.30765326695389383,no,,,10893,2.2952309520191614
2739,"L(RXRcXcX, XQX)",0.30993452344912087,yes,B1,1,10893,2.2952309520191614
2740,CXXCXRQCXCXMXRX,0.4227625352634371,no,,,10893,2.2952309520191614
2741,"C(CqXXXXX, rMmXcXcX)",0.40929101814645985,no,,,10893,2.2952309520191614
2742,CXXCQQLXLXCXrX,0.4434651562281717,no,,,10893,2.2952309520191614
2743,"LCL(qqXCXMX, ,mX,X)",0.6194018759348978,no,,,10893,2.2952309520191614
2744,XrCfCqXrX,0.09595748117343433,no,,,10893,2.2952309520191614
2745,"(qXLXcXcXX, XX)",0.4510775967455955,no,,,10893,2.2952309520191614
2746,"Lm((LqXXCXXX), cX)",0.6452682407216371,no,,,10893,2.2952309520191614
2747,"mXL(qXqCCXCXRLX,CLX, )",0.6279641874893023,no,,,10893,2.2952309520191614
2748,"((XqCXX), XqXXCXRCLX)",0.4428761816815678,no,,,10893,2.2952309520191614
2749,XXCXqqXLCXX,0.2593031715933326,no,,,10893,2.2952309520191614
